,Resultado (V/L/E),
Rusia vs Arabia,,E
Egipto vs Uruguay,,L
Marruecos vs Iran,,V
Portugal vs Espana,,V
Francia vs Australia,,V
Argentina vs Islandia,,V
Peru vs Dianamarca,,E
Croacia vs Nigeria,,L
Costa Rica vs Serbia,,E
Alemania vs Mexico,,V
Brasil vs Suiza,,V
Suecia vs Rep Corea,,E
Belgica vs Panama,,V
Tunez vs Inglaterra,,L
Colombia vs Japon,,V
Polonia vs Senegal,,E
Rusia vs Egipto,,E
Portugal vs Marruecos,,V
Uruguay vs Arabia,,V
Iran vs Espana,,L
Dinamarca vs Australia,,E
Francia vs Peru,,V
Argentina vs Croacia,,V
Brasil vs Costa Rica,,V
Nigeria vs Islandia,,E
Serbia vs Suiza,,E
Belgica vs Tunez,,E
Rep Corea vs Mexico,,L
Alemania vs Suecia,,E
Inglaterra vs Panama,,V
Japon vs Senegal,,E
Polonia vs Colombia,,E
Uruguay vs Rusia,,V
Arabia vs Egipto,,E
Espana vs Marruecos,,V
Iran vs Portugal,,L
Australia vs Peru,,L
Dinamarca vs Francia,,E
Nigeria vs Argentina,,V
Islandia vs Croacia,,E
Rep Corea vs Alemania,,L
Mexico vs Suecia,,E
Serbia vs Brasil,,L
Suiza vs Costa Rica,,L
Japon vs Polonia,,V
Senegal vs Colombia,,E
Panama vs Tunez,,E
Inglaterra vs Belgica,,E
