,Resultado (V/L/E)
Rusia vs Arabia,L
Egipto vs Uruguay,V
Marruecos vs Iran,V
Portugal vs Espana,E
Francia vs Australia,L
Argentina vs Islandia,L
Peru vs Dianamarca,L
Croacia vs Nigeria,V
Costa Rica vs Serbia,E
Alemania vs Mexico,L
Brasil vs Suiza,L
Suecia vs Rep Corea,V
Belgica vs Panama,L
Tunez vs Inglaterra,V
Colombia vs Japon,E
Polonia vs Senegal,L
Rusia vs Egipto,E
Portugal vs Marruecos,L
Uruguay vs Arabia,L
Iran vs Espana,V
Dinamarca vs Australia,E
Francia vs Peru,L
Argentina vs Croacia,V
Brasil vs Costa Rica,L
Nigeria vs Islandia,L
Serbia vs Suiza,V
Belgica vs Tunez,L
Rep Corea vs Mexico,V
Alemania vs Suecia,L
Inglaterra vs Panama,L
Japon vs Senegal,E
Polonia vs Colombia,L
Uruguay vs Rusia,L
Arabia vs Egipto,V
Espana vs Marruecos,L
Iran vs Portugal,V
Australia vs Peru,E
Dinamarca vs Francia,V
Nigeria vs Argentina,L
Islandia vs Croacia,V
Rep Corea vs Alemania,V
Mexico vs Suecia,L
Serbia vs Brasil,V
Suiza vs Costa Rica,E
Japon vs Polonia,L
Senegal vs Colombia,L
Panama vs Tunez,L
Inglaterra vs Belgica,L
