,Resultado (V/L/E)
Rusia vs Arabia,L
Egipto vs Uruguay,V
Marruecos vs Iran,E
Portugal vs Espana,E
Francia vs Australia,L
Argentina vs Islandia,L
Peru vs Dianamarca,V
Croacia vs Nigeria,L
Costa Rica vs Serbia,E
Alemania vs Mexico,E
Brasil vs Suiza,L
Suecia vs Rep Corea,L
Belgica vs Panama,L
Tunez vs Inglaterra,V
Colombia vs Japon,L
Polonia vs Senegal,E
Rusia vs Egipto,E
Portugal vs Marruecos,L
Uruguay vs Arabia,L
Iran vs Espana,V
Dinamarca vs Australia,L
Francia vs Peru,L
Argentina vs Croacia,E
Brasil vs Costa Rica,L
Nigeria vs Islandia,E
Serbia vs Suiza,V
Belgica vs Tunez,L
Rep Corea vs Mexico,V
Alemania vs Suecia,L
Inglaterra vs Panama,L
Japon vs Senegal,V
Polonia vs Colombia,E
Uruguay vs Rusia,L
Arabia vs Egipto,V
Espana vs Marruecos,L
Iran vs Portugal,V
Australia vs Peru,V
Dinamarca vs Francia,E
Nigeria vs Argentina,V
Islandia vs Croacia,V
Rep Corea vs Alemania,V
Mexico vs Suecia,E
Serbia vs Brasil,V
Suiza vs Costa Rica,L
Japon vs Polonia,V
Senegal vs Colombia,E
Panama vs Tunez,V
Inglaterra vs Belgica,L
