,Resultado (V/L/E)
Rusia vs Arabia,L
Egipto vs Uruguay,V
Marruecos vs Iran,V
Portugal vs Espana,V
Francia vs Australia,L
Argentina vs Islandia,E
Peru vs Dianamarca,V
Croacia vs Nigeria,E
Costa Rica vs Serbia,V
Alemania vs Mexico,L
Brasil vs Suiza,L
Suecia vs Rep Corea,L
Belgica vs Panama,L
Tunez vs Inglaterra,V
Colombia vs Japon,L
Polonia vs Senegal,V
Rusia vs Egipto,L
Portugal vs Marruecos,L
Uruguay vs Arabia,L
Iran vs Espana,V
Dinamarca vs Australia,L
Francia vs Peru,L
Argentina vs Croacia,L
Brasil vs Costa Rica,L
Nigeria vs Islandia,E
Serbia vs Suiza,E
Belgica vs Tunez,L
Rep Corea vs Mexico,V
Alemania vs Suecia,L
Inglaterra vs Panama,L
Japon vs Senegal,V
Polonia vs Colombia,V
Uruguay vs Rusia,E
Arabia vs Egipto,E
Espana vs Marruecos,L
Iran vs Portugal,V
Australia vs Peru,V
Dinamarca vs Francia,E
Nigeria vs Argentina,E
Islandia vs Croacia,L
Rep Corea vs Alemania,V
Mexico vs Suecia,L
Serbia vs Brasil,V
Suiza vs Costa Rica,L
Japon vs Polonia,L
Senegal vs Colombia,V
Panama vs Tunez,E
Inglaterra vs Belgica,E
