,Resultado (V/L/E)
Rusia vs Arabia,L
Egipto vs Uruguay,V
Marruecos vs Iran,L
Portugal vs Espana,L
Francia vs Australia,L
Argentina vs Islandia,L
Peru vs Dianamarca,L
Croacia vs Nigeria,L
Costa Rica vs Serbia,L
Alemania vs Mexico,E
Brasil vs Suiza,L
Suecia vs Rep Corea,E
Belgica vs Panama,E
Tunez vs Inglaterra,V
Colombia vs Japon,V
Polonia vs Senegal,E
Rusia vs Egipto,L
Portugal vs Marruecos,L
Uruguay vs Arabia,V
Iran vs Espana,V
Dinamarca vs Australia,V
Francia vs Peru,E
Argentina vs Croacia,L
Brasil vs Costa Rica,E
Nigeria vs Islandia,E
Serbia vs Suiza,V
Belgica vs Tunez,E
Rep Corea vs Mexico,V
Alemania vs Suecia,L
Inglaterra vs Panama,L
Japon vs Senegal,L
Polonia vs Colombia,V
Uruguay vs Rusia,V
Arabia vs Egipto,E
Espana vs Marruecos,L
Iran vs Portugal,V
Australia vs Peru,E
Dinamarca vs Francia,E
Nigeria vs Argentina,V
Islandia vs Croacia,L
Rep Corea vs Alemania,V
Mexico vs Suecia,L
Serbia vs Brasil,V
Suiza vs Costa Rica,E
Japon vs Polonia,L
Senegal vs Colombia,V
Panama vs Tunez,E
Inglaterra vs Belgica,E
