,Resultado (V/L/E)
Rusia vs Arabia,L
Egipto vs Uruguay,V
Marruecos vs Iran,E
Portugal vs Espana,V
Francia vs Australia,L
Argentina vs Islandia,E
Peru vs Dianamarca,V
Croacia vs Nigeria,V
Costa Rica vs Serbia,E
Alemania vs Mexico,L
Brasil vs Suiza,L
Suecia vs Rep Corea,L
Belgica vs Panama,V
Tunez vs Inglaterra,V
Colombia vs Japon,L
Polonia vs Senegal,L
Rusia vs Egipto,L
Portugal vs Marruecos,L
Uruguay vs Arabia,E
Iran vs Espana,L
Dinamarca vs Australia,V
Francia vs Peru,L
Argentina vs Croacia,L
Brasil vs Costa Rica,L
Nigeria vs Islandia,V
Serbia vs Suiza,V
Belgica vs Tunez,E
Rep Corea vs Mexico,V
Alemania vs Suecia,L
Inglaterra vs Panama,E
Japon vs Senegal,L
Polonia vs Colombia,E
Uruguay vs Rusia,L
Arabia vs Egipto,V
Espana vs Marruecos,L
Iran vs Portugal,V
Australia vs Peru,E
Dinamarca vs Francia,F
Nigeria vs Argentina,V
Islandia vs Croacia,E
Rep Corea vs Alemania,V
Mexico vs Suecia,L
Serbia vs Brasil,V
Suiza vs Costa Rica,L
Japon vs Polonia,V
Senegal vs Colombia,V
Panama vs Tunez,L
Inglaterra vs Belgica,L
