,Resultado (V/L/E)
Rusia vs Arabia,L
Egipto vs Uruguay,V
Marruecos vs Iran,V
Portugal vs Espana,L
Francia vs Australia,E
Argentina vs Islandia,L
Peru vs Dianamarca,V
Croacia vs Nigeria,L
Costa Rica vs Serbia,L
Alemania vs Mexico,E
Brasil vs Suiza,L
Suecia vs Rep Corea,E
Belgica vs Panama,L
Tunez vs Inglaterra,E
Colombia vs Japon,V
Polonia vs Senegal,V
Rusia vs Egipto,E
Portugal vs Marruecos,L
Uruguay vs Arabia,L
Iran vs Espana,V
Dinamarca vs Australia,L
Francia vs Peru,L
Argentina vs Croacia,L
Brasil vs Costa Rica,L
Nigeria vs Islandia,L
Serbia vs Suiza,V
Belgica vs Tunez,E
Rep Corea vs Mexico,E
Alemania vs Suecia,L
Inglaterra vs Panama,L
Japon vs Senegal,V
Polonia vs Colombia,V
Uruguay vs Rusia,V
Arabia vs Egipto,V
Espana vs Marruecos,L
Iran vs Portugal,V
Australia vs Peru,L
Dinamarca vs Francia,V
Nigeria vs Argentina,V
Islandia vs Croacia,V
Rep Corea vs Alemania,V
Mexico vs Suecia,L
Serbia vs Brasil,V
Suiza vs Costa Rica,E
Japon vs Polonia,E
Senegal vs Colombia,L
Panama vs Tunez,L
Inglaterra vs Belgica,L
