,Resultado (V/L/E)
Rusia vs Arabia,V
Egipto vs Uruguay,L
Marruecos vs Iran,V
Portugal vs Espana,V
Francia vs Australia,L
Argentina vs Islandia,L
Peru vs Dianamarca,V
Croacia vs Nigeria,L
Costa Rica vs Serbia,E
Alemania vs Mexico,L
Brasil vs Suiza,L
Suecia vs Rep Corea,V
Belgica vs Panama,L
Tunez vs Inglaterra,V
Colombia vs Japon,V
Polonia vs Senegal,L
Rusia vs Egipto,L
Portugal vs Marruecos,L
Uruguay vs Arabia,V
Iran vs Espana,V
Dinamarca vs Australia,E
Francia vs Peru,L
Argentina vs Croacia,L
Brasil vs Costa Rica,L
Nigeria vs Islandia,E
Serbia vs Suiza,E
Belgica vs Tunez,L
Rep Corea vs Mexico,V
Alemania vs Suecia,E
Inglaterra vs Panama,L
Japon vs Senegal,V
Polonia vs Colombia,E
Uruguay vs Rusia,V
Arabia vs Egipto,E
Espana vs Marruecos,L
Iran vs Portugal,L
Australia vs Peru,L
Dinamarca vs Francia,V
Nigeria vs Argentina,V
Islandia vs Croacia,E
Rep Corea vs Alemania,V
Mexico vs Suecia,V
Serbia vs Brasil,V
Suiza vs Costa Rica,L
Japon vs Polonia,L
Senegal vs Colombia,E
Panama vs Tunez,E
Inglaterra vs Belgica,V
