Partidos,Resultado (V/L/E)
Rusia vs Arabia,W
Egipto vs Uruguay,l
Marruecos vs Iran,V
Portugal vs Espana,v
Francia vs Australia,E
Argentina vs Islandia,e
Peru vs Dianamarca,o
Croacia vs Nigeria,L
Costa Rica vs Serbia,l
Alemania vs Mexico,V
Brasil vs Suiza,v
Suecia vs Rep Corea,E
Belgica vs Panama,e
Tunez vs Inglaterra,o
Colombia vs Japon,L
Polonia vs Senegal,l
Rusia vs Egipto,V
Portugal vs Marruecos,v
Uruguay vs Arabia,E
Iran vs Espana,e
Dinamarca vs Australia,o
Francia vs Peru,L
Argentina vs Croacia,l
Brasil vs Costa Rica,V
Nigeria vs Islandia,v
Serbia vs Suiza,E
Belgica vs Tunez,e
Rep Corea vs Mexico,o
Alemania vs Suecia,L
Inglaterra vs Panama,l
Japon vs Senegal,V
Polonia vs Colombia,v
Uruguay vs Rusia,E
Arabia vs Egipto,e
Espana vs Marruecos,o
Iran vs Portugal,L
Australia vs Peru,l
Dinamarca vs Francia,V
Nigeria vs Argentina,v
Islandia vs Croacia,E
Rep Corea vs Alemania,e
Mexico vs Suecia,o
Serbia vs Brasil,L
Suiza vs Costa Rica,l
Japon vs Polonia,V
Senegal vs Colombia,v
Panama vs Tunez,E
Inglaterra vs Belgica,e
