Partidos,Resultado (V/L/E)
Rusia vs Arabia,L
Egipto vs Uruguay,V
Marruecos vs Iran,V
Portugal vs Espana,E
Francia vs Australia,L
Argentina vs Islandia,E
Peru vs Dianamarca,V
Croacia vs Nigeria,L
Costa Rica vs Serbia,V
Alemania vs Mexico,V
Brasil vs Suiza,E
Suecia vs Rep Corea,L
Belgica vs Panama,L
Tunez vs Inglaterra,V
Colombia vs Japon,V
Polonia vs Senegal,V
Rusia vs Egipto,L
Portugal vs Marruecos,L
Uruguay vs Arabia,L
Iran vs Espana,V
Dinamarca vs Australia,E
Francia vs Peru,L
Argentina vs Croacia,V
Brasil vs Costa Rica,L
Nigeria vs Islandia,L
Serbia vs Suiza,V
Belgica vs Tunez,L
Rep Corea vs Mexico,V
Alemania vs Suecia,L
Inglaterra vs Panama,L
Japon vs Senegal,E
Polonia vs Colombia,V
Uruguay vs Rusia,L
Arabia vs Egipto,L
Espana vs Marruecos,E
Iran vs Portugal,E
Australia vs Peru,V
Dinamarca vs Francia,E
Nigeria vs Argentina,V
Islandia vs Croacia,V
Rep Corea vs Alemania,L
Mexico vs Suecia,V
Serbia vs Brasil,V
Suiza vs Costa Rica,E
Japon vs Polonia,Pending
Senegal vs Colombia,Pending
Panama vs Tunez,Pending
Inglaterra vs Belgica,Pending
